Algorithm,Epsilon,Mean,Std
AMP,0.01,0.5339,0.0623
AMP,0.1,0.5953,0.1112
AMP,0.5,0.7014,0.0789
AMP,1.0,0.7460,0.0678
AMP,5.0,0.8282,0.0076
AMP,10.0,0.8362,0.0026
DPSGD,0.01,0.5045,0.0219
DPSGD,0.1,0.5885,0.0589
DPSGD,0.5,0.7159,0.0377
DPSGD,1.0,0.7245,0.0299
DPSGD,5.0,0.7277,0.0231
DPSGD,10.0,0.7501,0.0261
DPPSGD,0.01,0.5075,0.1077
DPPSGD,0.1,0.6120,0.0504
DPPSGD,0.5,0.7148,0.0284
DPPSGD,1.0,0.7463,0.0070
DPPSGD,5.0,0.7645,0.0085
DPPSGD,10.0,0.7703,0.0030
SklearnSGD,0.01,0.7497,0.0867
SklearnSGD,0.1,0.7928,0.0023
SklearnSGD,0.5,0.7928,0.0023
SklearnSGD,1.0,0.7928,0.0023
SklearnSGD,5.0,0.7928,0.0023
SklearnSGD,10.0,0.7928,0.0023
