Algorithm,Epsilon,Mean,Std
AMP,0.01,0.5226,0.0244
AMP,0.1,0.5272,0.0216
AMP,0.5,0.5445,0.0232
AMP,1.0,0.5577,0.0202
AMP,5.0,0.6119,0.0068
AMP,10.0,0.6440,0.0013
DPSGD,0.01,0.5472,0.0470
DPSGD,0.1,0.5539,0.0299
DPSGD,0.5,0.5867,0.0116
DPSGD,1.0,0.6068,0.0189
DPSGD,5.0,0.6183,0.0082
DPSGD,10.0,0.6182,0.0081
DPPSGD,0.01,0.4888,0.0295
DPPSGD,0.1,0.5161,0.0159
DPPSGD,0.5,0.5907,0.0410
DPPSGD,1.0,0.6234,0.0026
DPPSGD,5.0,0.6372,0.0034
DPPSGD,10.0,0.6409,0.0017
SklearnSGD,0.01,0.5745,0.0224
SklearnSGD,0.1,0.5955,0.0164
SklearnSGD,0.5,0.5955,0.0164
SklearnSGD,1.0,0.5955,0.0164
SklearnSGD,5.0,0.5955,0.0164
SklearnSGD,10.0,0.5955,0.0164
