Algorithm,Epsilon,Mean,Std
AMP,0.01,0.5095,0.1297
AMP,0.1,0.5615,0.1175
AMP,0.5,0.6791,0.0704
AMP,1.0,0.7332,0.0362
AMP,5.0,0.7754,0.0035
AMP,10.0,0.7773,0.0011
DPSGD,0.01,0.6941,0.0329
DPSGD,0.1,0.7547,0.0286
DPSGD,0.5,0.7737,0.0031
DPSGD,1.0,0.7756,0.0051
DPSGD,5.0,0.7752,0.0043
DPSGD,10.0,0.7758,0.0021
DPPSGD,0.01,0.5847,0.2084
DPPSGD,0.1,0.7670,0.0070
DPPSGD,0.5,0.7807,0.0009
DPPSGD,1.0,0.7786,0.0017
DPPSGD,5.0,0.7773,0.0017
DPPSGD,10.0,0.7783,0.0026
SklearnSGD,0.01,0.7482,0.0030
SklearnSGD,0.1,0.7482,0.0030
SklearnSGD,0.5,0.7514,0.0008
SklearnSGD,1.0,0.7531,0.0017
SklearnSGD,5.0,0.7531,0.0017
SklearnSGD,10.0,0.7531,0.0017
